Code,Types,BGD_EU,CHN_EU,VNM_EU,CAM_EU,TUR_EU,IND_EU,BGD_US,CHN_US,VNM_US,CAM_US,TUR_US,IND_US,BGD_UK,CHN_UK,VNM_UK,CAM_UK,TUR_UK,IND_UK
'610120,Cotton,6.888934979,29.28549207,16.61827232,25.31681012,0.733174323,3.369283418,7.153678366,21.51516954,21.98007139,6.548383898,0.43049772,3.933372992,1.473761971,9.119067092,6.0222146,10.13006886,1.940215814,2.322243622
'610220,Cotton,5.355819779,22.45939621,29.82511849,20.13195498,0.317538722,1.568876501,3.804925542,24.07970968,24.29244667,7.930675519,0.301709734,2.522452897,2.103027137,10.25638498,7.13954795,10.20019911,1.843783576,0.479551302
'610322,Cotton,12.73470905,40.24911694,5.447109128,3.327756088,0.501952036,1.412902026,18.9618393,63.54586395,11.78004266,2.536146006,0.142213795,0.047404598,4.330636504,7.57206818,0.036655932,0.248736679,33.65800016,12.21689838
'610332,Cotton,9.796626984,32.71329365,3.447420635,2.132936508,3.199404762,3.509424603,2.839306238,50.99780587,14.36631491,0.378748302,2.669522516,5.284191829,3.743076648,22.73092728,2.965874576,1.199303198,7.4749866,2.441039843
'610342,Cotton,18.39152934,16.65843004,13.63189675,23.6047443,1.243446203,2.757564913,9.393287547,14.06380108,23.2515531,9.106739132,0.709388744,3.613260258,14.31794685,8.221332825,1.781174153,6.504607958,5.72489362,5.397211709
'610422,Cotton,17.74218629,54.5949308,3.965168714,9.407557145,0.668636293,4.385010107,2.19018575,92.75020793,0,0.013861935,0.180205157,2.78624896,6.803195679,14.58985034,0.065263869,0.051760999,23.72229099,19.90322944
'610432,Cotton,4.366892015,30.73268774,7.984651928,17.29398867,3.882696876,4.640964736,1.111203827,48.58561415,23.34501558,0.353248776,0.478415665,5.461448598,2.521577625,25.97618267,1.276084344,1.332896318,8.027968972,4.079536764
'610442,Cotton,17.82525443,27.66442454,10.96350641,13.99633872,2.827323547,7.07918049,5.58341145,21.59344231,27.6153104,9.292502857,1.384203792,8.409499894,14.32247986,12.97671467,1.074347083,1.882938736,10.25979985,12.00644374
'610452,Cotton,15.70606389,38.02652431,7.37342564,11.11852531,2.193677538,2.418883977,10.74744381,22.09595351,30.68992958,5.727910678,1.050207389,3.935564773,11.72901025,9.990476823,0.491661684,2.571257724,9.71364029,9.613979138
'610462,Cotton,14.60306026,22.31735942,12.87769799,30.00669189,0.823082323,2.339297372,6.357493256,15.516853,31.14976404,7.798336756,0.520233863,3.789975876,35.53221908,5.502425645,1.639633153,8.48979172,8.108339762,6.58356047
'610510,Cotton,13.82027218,11.09983654,17.31895903,11.17926867,3.040919025,16.40985142,7.245083161,7.142804724,19.24557292,6.698851415,0.965426566,18.95175416,23.36150252,5.769798393,1.23999963,1.354157346,5.508675472,7.93560682
'610610,Cotton,10.7795588,23.69255714,14.6937092,14.73780028,1.912984113,7.979063847,4.220995944,12.94312906,24.37893217,6.701491771,0.848276716,13.93155191,18.34333276,7.784698017,0.941660477,1.153838828,7.93516561,19.17185685
'610711,Cotton,16.14080491,13.21680009,10.36911942,11.35914026,0.154402895,24.11799539,7.993411914,6.226217407,24.30023415,2.434654919,0.046116601,19.16065405,38.59499701,17.01174317,0.036438182,4.113219062,1.639570089,6.899703162
'610721,Cotton,20.76796724,15.53074488,6.469159902,39.33273026,0.589187516,10.81724474,2.506466459,29.25395102,19.24367356,21.62072022,0.42541776,11.15167312,29.02294981,11.39074313,0.185637612,4.224938922,3.719966143,41.15431968
'610791,Cotton,17.38206545,33.65065873,2.388440289,21.82745431,1.291967701,5.737356566,12.17065987,26.08327713,12.29550434,2.829109708,0.687901398,21.35678287,12.66927083,21.33854167,0,0.583333333,8.346354167,18.46354167
'610821,Cotton,31.13102775,14.14122019,3.198368381,17.23268221,0.098602952,6.30539929,20.4494581,11.49633477,10.23813999,2.498888031,0.057061223,9.212487812,34.51113685,17.93278678,0.0858146,2.868627482,0.306288664,9.916179525
'610831,Cotton,30.44579997,13.98855784,4.290155305,34.62558288,0.312177536,11.98487441,5.699200463,28.70243146,16.04212163,13.97059421,0.395784585,13.92490174,28.57806507,11.45810561,0.391269352,4.592384284,5.076564581,36.1517976
'610839,Cotton,6.430087959,47.83136184,3.942978465,29.51167728,0.303306036,1.789505611,0.220228385,96.33564437,0.334420881,0.057096248,0.27324633,0.80954323,6.311490626,40.59031001,0.003712642,1.258585484,15.51884166,9.819936885
'610891,Cotton,18.03928477,16.3436977,4.073813089,46.68369594,1.995067383,5.152823042,6.497119831,38.85412059,13.79266167,6.773413006,1.618357663,8.987867756,26.24516189,20.55299326,0.143694811,3.096391406,11.62073841,13.94534962
'610910,Cotton,23.02543862,9.87151547,5.439825318,10.33767851,1.819138792,6.682158898,6.862426051,7.452576152,6.604032081,1.876340484,0.827871368,6.116875016,26.30554909,4.445058043,1.26805936,1.29118745,11.4776263,7.58831309
'611020,Cotton,14.9173888,23.30693192,14.51488749,14.91346148,2.106418617,3.253785447,5.702296277,19.31729497,21.15700371,5.823793225,0.928023657,6.142325806,14.46474142,12.47984876,1.91439073,5.295644906,9.521167483,2.942036417
'611120,Cotton,9.573877559,46.62588229,8.061650374,13.43050978,0.513056343,12.58300295,6.729577759,27.83604263,13.05182414,16.14091437,0.197632392,16.49618761,16.33210034,16.38066181,0.60555217,4.797429318,3.609282606,24.98598226
'611211,Cotton,8.497536946,21.7364532,25.40024631,9.020935961,4.556650246,2.43226601,5.659973667,50.44107966,1.074720211,4.420671494,2.639894668,2.557603687,2.784590523,4.843972225,1.034754543,10.79403101,22.78441439,0.425350165
'611420,Cotton,11.99288133,28.7191582,12.39201051,16.35911259,1.502349851,4.101009054,6.79320568,33.2064228,19.23103215,5.640385487,0.885550181,5.813141333,15.1062855,9.369974386,0.522740761,1.894166521,7.831271582,9.966206347
'611595,Cotton,1.229062603,50.06224099,3.702551093,0.572774688,2.47388242,0.592865134,0.04950036,30.43221921,2.840620511,0.315549439,1.95280761,0.736916643,0.181767548,24.51030016,0.159281811,0.441435474,40.74359109,1.317062064
'611692,Cotton,9.855072464,68.77011036,0.497274299,0.013296104,0.005318442,0.473341311,7.949281346,49.3023386,2.102780849,0.002099282,0.004198564,0.258911452,8.678843568,42.67705065,0,0.08404303,0.280143433,4.510309278
'620112,Cotton,19.38430512,25.33958123,4.045317041,0.68212824,1.322735631,1.097336734,8.330851496,37.45228103,4.346374261,0.567663914,1.926808357,1.951175488,3.611807537,25.56026243,2.74631855,1.252605593,3.824097288,0.464924162
'620192,Cotton,23.73794883,20.45713339,14.7477968,10.79549768,1.132481729,6.623051283,23.18202196,28.15467812,9.067062457,3.62540752,0.809519414,10.47405879,8.921467934,12.46252744,2.125052787,1.062005036,2.322647244,0.73354987
'620212,Cotton,10.4906038,31.71257934,9.380569713,1.034989525,0.684781589,0.728557581,4.211821514,34.88272777,16.26716166,0.102325149,0.956021328,2.383922267,3.763952831,33.94073045,3.821947919,0.695225071,2.847487238,0.73030852
'620292,Cotton,25.561975,31.43116299,14.66458966,5.013408526,1.20479552,2.266632488,23.36271241,34.68472866,13.43554605,1.202243264,1.425289094,5.002104503,11.67617625,15.3295295,2.585618423,0.36321016,4.867917724,0.61629809
'620322,Cotton,2.010535558,14.88147498,0.245829675,0,0.21071115,0.535557507,0,26.8626882,0.154753845,0,0.009672115,0.035464423,2.090814317,11.89621221,1.065678212,0,12.9387235,4.888219622
'620332,Cotton,10.15126663,29.17441225,5.409148897,2.267176964,4.807727356,1.399671952,10.55393586,30.26422718,16.80539933,1.880581254,2.868621014,4.46362572,10.56101227,20.44741165,4.593659338,3.721905694,4.715299381,2.994861757
